averageRating,numVotes,startYear,genres
5.9,1475,1911,"Comedy,Short"
6.1,1147,1911,"Drama,Romance,Short"
5.5,542,1911,Short
6.4,1069,1911,"Short,Western"
5.6,903,1911,"Drama,Short"
5.0,1181,1911,"Drama,Short"
6.2,1736,1912,"Fantasy,Romance,Short"
5.3,986,1911,"Comedy,Short,Western"
5.2,1358,1911,"Short,Western"
5.4,1124,1911,Short
6.3,3632,1911,"Comedy,Short"
5.6,1375,1911,"Drama,Short"
6.1,597,1911,"Romance,Short"
6.6,2147,1911,Short
6.2,25734,1911,"Drama,Short"
5.7,1840,1912,Short
6.3,1049,1911,"Comedy,Short"
6.7,2666,1911,Short
6.0,1825,1911,"Drama,Short"
6.5,2683,1911,"Drama,Short"
5.7,1002,1911,"Drama,Romance,Short"
6.1,1963,1911,"Romance,Short"
5.6,1692,1911,"Drama,Short"
5.9,1396,1911,"Action,Adventure,Drama"
5.9,1824,1911,"Drama,Short"
6.4,2287,1911,"Comedy,Short"
5.6,1211,1911,"Drama,Short"
6.8,975,1911,"Short,Western"
6.8,782,1911,Comedy
6.8,1372,1911,Short
6.2,1645,1911,"Comedy,Short"
6.9,3616,1911,"Drama,Short"
7.3,5241,1911,"Drama,Short"
6.4,1896,1911,"Drama,Short"
6.2,1760,1911,Drama
6.1,1921,1911,"Drama,Short"
6.9,2920,1911,"Comedy,Short"
5.3,596,1911,"Short,Western"
6.6,2413,1911,"Comedy,Short"
6.5,2779,1912,"Crime,Drama,Short"
6.6,2577,1912,Drama
5.8,656,1912,"Comedy,Short"
6.4,527,1912,"Drama,Romance,Short"
6.7,1039,1912,"Biography,Drama,History"
5.9,921,1912,Short
7.7,16322,1912,"Crime,Drama,Short"
7.2,1091,1912,"Drama,Romance,Short"
6.4,635,1912,"Short,Western"
6.8,972,1911,"Short,War"
7.0,3491,1912,"Drama,Romance,Short"
7.0,3563,1912,"Drama,Short"
6.7,804,1912,"Comedy,Short"
5.4,610,1912,"Drama,Short"
7.0,4082,1912,"Drama,Short"
6.9,696,1912,"Comedy,Short"
5.8,557,1912,"Comedy,Short"
6.7,533,1912,"Comedy,Short"
6.8,3067,1913,Drama
6.3,842,1912,"Comedy,Short"
7.3,4331,1912,"Drama,Short"
6.1,638,1912,"Drama,Short,Thriller"
6.3,1796,1912,"Drama,Short"
6.3,1807,1912,"Animation,Short"
7.1,3747,1912,"Romance,Short"
6.4,757,1912,"Romance,Short,Western"
5.9,1219,1912,"Comedy,Drama,Short"
7.6,8895,1912,"Romance,Short"
6.4,624,1912,"Romance,Short"
6.3,714,1912,"Fantasy,Romance,Short"
6.1,706,1912,"Drama,Short"
6.8,597,1912,"Short,Western"
6.7,1503,1912,"Drama,Short"
6.3,875,1912,"Comedy,Short"
6.1,844,1912,Short
5.6,1511,1912,"Drama,Short"
6.3,653,1912,"Comedy,Short"
7.3,2234,1912,Drama
5.0,505,1912,"Crime,Drama,Short"
6.5,651,1912,"Short,Thriller"
6.1,811,1912,"History,War"
5.4,703,1912,Drama
6.7,1409,1912,"Drama,Short"
7.2,2021,1912,Short
6.9,980,1912,"Comedy,Short"
5.4,1148,1912,"Comedy,Short"
6.6,1820,1912,"Drama,Short"
7.7,9271,1912,"Comedy,Drama,Short"
6.1,617,1912,"Drama,Short,Western"
6.1,1252,1911,"Drama,Short"
6.6,1076,1912,"Drama,Short,War"
5.8,640,1912,"Drama,Fantasy,Short"
6.1,1154,1913,"Drama,Short"
5.8,890,1913,"Drama,Short,Western"
6.4,1199,1913,"Comedy,Short"
5.2,525,1913,"Comedy,Short"
5.5,743,1913,"Animation,Short"
7.3,7179,1913,"Comedy,Short"
6.8,1228,1913,Short
6.9,1522,1913,"Comedy,Short"
6.5,602,1913,"Horror,Short"
5.8,896,1913,"Adventure,Short"
7.0,1419,1913,"Drama,Short"
6.9,1198,1913,"Drama,Short"
5.5,1209,1913,"Drama,Romance,Short"
7.2,2110,1913,"Drama,Short"
6.6,1363,1913,"Animation,Short"
6.2,958,1913,"Drama,Short"
6.0,930,1913,"Comedy,Short"
7.2,10820,1913,"Drama,Romance,Short"
6.9,1342,1913,"Short,Western"
6.0,725,1913,"Animation,Short"
6.4,508,1913,"Comedy,Short"
6.6,1447,1913,"Crime,Drama,Short"
6.6,3546,1913,"Drama,Short"
6.2,890,1913,"Drama,Romance,Short"
6.5,1247,1913,"Comedy,Short"
5.8,692,1913,"Drama,Romance,Short"
